state,county,date,city,college,cases,cases_2021
Alabama,Madison,2021-05-26,Huntsville,Alabama A&M University,41,
Alabama,Montgomery,2021-05-26,Montgomery,Alabama State University,2,
Alabama,Limestone,2021-05-26,Athens,Athens State University,45,10.0
Alabama,Lee,2021-05-26,Auburn,Auburn University,2742,567.0
Alabama,Montgomery,2021-05-26,Montgomery,Auburn University at Montgomery,220,80.0
Alabama,Walker,2021-05-26,Jasper,Bevill State Community College,4,
Alabama,Jefferson,2021-05-26,Birmingham,Birmingham-Southern College,263,49.0
Alabama,Limestone,2021-05-26,Tanner,Calhoun Community College,137,53.0
Alabama,Tallapoosa,2021-05-26,Alexander City,Central Alabama Community College,49,10.0
Alabama,Coffee,2021-05-26,Enterprise,Enterprise State Community College,76,35.0
Alabama,Etowah,2021-05-26,Gadsden,Gadsden State Community College,67,5.0
Alabama,Montgomery,2021-05-26,Montgomery,Huntingdon College,0,
Alabama,Calhoun,2021-05-26,Jacksonville,Jacksonville State University,229,10.0
Alabama,Covington,2021-05-26,Andalusia,Lurleen B. Wallace Community College,19,
Alabama,Perry,2021-05-26,Marion,Marion Military Institute,45,19.0
Alabama,Jefferson,2021-05-26,Fairfield,Miles College,0,
Alabama,Jefferson,2021-05-26,Birmingham,Samford University,666,186.0
Alabama,Marshall,2021-05-26,Boaz,Snead State Community College,29,10.0
Alabama,Randolph,2021-05-26,Wadley,Southern Union State Community College,295,78.0
Alabama,Mobile,2021-05-26,Mobile,Spring Hill College,162,38.0
Alabama,Pike,2021-05-26,Troy,Troy University,855,106.0
Alabama,Houston,2021-05-26,Dothan,Troy University Dothan,18,1.0
Alabama,Montgomery,2021-05-26,Montgomery,Troy University Montgomery,20,2.0
Alabama,Russell,2021-05-26,Phenix,Troy University Phenix City,10,1.0
Alabama,Macon,2021-05-26,Tuskeegee,Tuskegee University,110,
Alabama,Tuscaloosa,2021-05-26,Tuscaloosa,University of Alabama,4565,1204.0
Alabama,Jefferson,2021-05-26,Birmingham,University of Alabama at Birmingham,3143,857.0
Alabama,Madison,2021-05-26,Huntsville,University of Alabama in Huntsville,393,183.0
Alabama,Shelby,2021-05-26,Montevallo,University of Montevallo,192,52.0
Alabama,Lauderdale,2021-05-26,Florence,University of North Alabama,763,275.0
Alabama,Mobile,2021-05-26,Mobile,University of South Alabama,780,273.0
Alabama,Sumter,2021-05-26,Livingston,University of West Alabama,35,5.0
Alaska,North Slope Borough,2021-05-26,Utqiagvik,Ilisagvik College,0,
Alaska,Anchorage Municipality,2021-05-26,Anchorage,University of Alaska Anchorage,186,51.0
Alaska,Fairbanks North Star Borough,2021-05-26,Fairbanks,University of Alaska Fairbanks,228,79.0
Alaska,Juneau City and Borough,2021-05-26,Juneau ,University of Alaska Southeast,16,3.0
American Samoa,Maoputasi,2021-05-26,Pago Pago,American Samoa Community College,0,0.0
Arizona,Maricopa,2021-05-26,Tempe,Arizona State University,6766,2261.0
Arizona,Yuma,2021-05-26,Yuma,Arizona Western College,41,
Arizona,Apache,2021-05-26,Tsaile,Dine College,16,11.0
