facility_state,facility_county,nyt_id,facility_name,facility_type,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths
Alabama,Coosa,F3EFE858,Alex City Work Release prison,Low-security work release,188.0,,77,0,17,0.0
Alabama,Shelby,5B910220,Alabama Therapeutic Education Facility prison,State rehabilitation center,272.0,,11,1,2,0.0
Alabama,Bibb,02FB1675,Bibb Correctional Facility,State prison,1725.0,1825.0,164,3,61,0.0
Alabama,Jefferson,6378F6C4,Birmingham Women's Community Based Facility and Community Work Center,State prison,192.0,,17,0,28,0.0
Alabama,Bullock,EAABF900,Bullock Correctional Facility,State prison,1477.0,1577.0,162,5,80,1.0
Alabama,Wilcox,D19A2461,Camden prison,State prison,49.0,,5,0,3,0.0
Alabama,Talladega,F80A4A63,Childersburg prison,State prison,322.0,,5,0,14,0.0
Alabama,Jefferson,F119AF97,William E. Donaldson Correctional Facility,State prison,1508.0,1532.0,45,2,26,0.0
Alabama,Elmore,41B5BD10,Draper Correctional Facility,State prison,100.0,,121,0,0,0.0
Alabama,Barbour,9C1D5182,Easterling Correctional Facility,State prison,1181.0,1318.0,72,2,47,0.0
Alabama,Coffee,2CF2BFD4,Elba Work Release,Low-security work release,207.0,,1,0,8,0.0
Alabama,Elmore,0B0C27B1,Elmore Correctional Facility,State prison,1114.0,1180.0,28,0,18,0.0
Alabama,Escambia,C42CE2AF,Fountain Correctional Facility,State prison,1149.0,1270.0,29,1,47,0.0
Alabama,Elmore,3707C471,Frank Lee prison,State prison,227.0,,26,0,22,0.0
Alabama,Marion,7B676BEF,Hamilton Aged and Infirmed prison,State facility,269.0,,48,14,41,0.0
Alabama,Marion,8270BF4E,Hamilton Community Based Facility,State prison,212.0,,8,2,22,0.0
Alabama,Escambia,10228D42,Holman Correctional Facility,State prison,148.0,843.0,39,2,33,0.0
Alabama,Montgomery,1E5109A7,Kilby Correctional Facility,State prison,1176.0,,25,2,44,0.0
Alabama,Limestone,58CDABD8,Limestone Correctional Facility,State prison,2190.0,,152,4,105,0.0
Alabama,Baldwin,F285C4CD,Loxley prison,State prison,128.0,,106,0,14,0.0
Alabama,Mobile,A7D22A15,Mobile Community Based Facility/Community Work Center,State prison,163.0,,15,0,21,0.0
Alabama,Montgomery,3C976ECE,Montgomery Women's Community Based Facility and Community Work Center,State prison,187.0,,1,0,11,0.0
Alabama,Morgan,E373AAD4,North Alabama prison,State prison,479.0,,87,0,30,0.0
Alabama,Montgomery,68C87646,Red Eagle Community Work Center prison,State prison,237.0,,18,0,20,0.0
Alabama,St. Clair,161DFD77,Saint Clair Correctional Facility,State prison,1102.0,,106,16,58,0.0
Alabama,Elmore,D0CF8DF6,Staton Correctional Facility,State prison,1283.0,1400.0,59,7,61,0.0
Alabama,Elmore,DF882AD4,Tutwiler women's prison,State prison,688.0,964.0,62,1,69,2.0
Alabama,Elmore,BD344E82,Tutwiler Quarantine Intake Facility,State facility,25.0,,35,0,0,0.0
Alabama,Barbour,09975519,Ventress Correctional Facility,State prison,1093.0,,77,2,46,0.0
Alaska,Anchorage,C69A0295,Anchorage Correctional Complex,State prison,949.0,,514,0,0,0.0
Alaska,Nome,BB635EA4,Anvil Mountain Correctional Center,State prison,148.0,,4,0,0,0.0
Alaska,Anchorage,1CADA532,Clitheroe community treatment center,State prison,11.0,,3,0,0,0.0
Alaska,Anchorage,B46A8B95,Cordova residential center,State prison,136.0,,1,0,0,0.0
Alaska,Fairbanks North Star,36297303,Fairbanks Correctional Center,State prison,273.0,294.0,154,0,0,0.0
Alaska,Matanuska-Susitna,7120943C,Goose Creek Correctional Center,State prison,1293.0,1348.0,1041,0,0,0.0
Alaska,Anchorage,81B19B7F,Hiland Mountain Correctional Center,State prison,324.0,333.0,235,0,0,0.0
Alaska,Ketchikan Gateway,2F72E4F2,Ketchikan Correctional Center,State prison,64.0,64.0,1,0,0,0.0
Alaska,Juneau,9BD8D968,Lemon Creek Correctional Center,State prison,219.0,229.0,19,0,11,0.0
Alaska,Matanuska-Susitna,30D2AFE4,Mat-Su pretrial facility,State prison,97.0,,69,0,0,0.0
Alaska,Matanuska-Susitna,ED29F8B4,Palmer Correctional Center,State prison,,,0,0,0,0.0
Alaska,Anchorage,F1A2639C,Parkview Center halfway house,State prison,112.0,,17,0,0,0.0
